tytul_pl,rok,sekcja,reżyseria,scenariusz,zdjęcia,montaż,muzyka,dźwięk,producent,kostiumy,scenografia,charakteryzacja,pierwsza_w_obsadzie,plec_pierwszej
Owoce rajskich drzew spożywamy,1969,Garden Party,K,K,M,M,M,,?,K,?,?,Jitka Novákova,K
Uroczystość w ogrodzie botanicznym,1969,Garden Party,M,M,M,M,M,,?,?,M,?,Slavoj Urban,
Dagerotypy,1975,Instytucje / Struktury / Wspólnoty,K,K,KM,?,,?,,,,,Lucien Bossy,
Egzamin wstępny,2016,Instytucje / Struktury / Wspólnoty,K,K,K,?,,?,?,,,,,
Izba przyjęć,1988,Instytucje / Struktury / Wspólnoty,M,M,,?,,,K,,,,,
Nasze ciało,2023,Instytucje / Struktury / Wspólnoty,K,K,K,?,?,?,?,,,,,
Nienormalni,1990,Instytucje / Struktury / Wspólnoty,M,M,?,K,,,M,,,,,
Opieka społeczna,1975,Instytucje / Struktury / Wspólnoty,M,M,M,M,,,M,,,,,
Osądzanie na Węgrzech,2013,Instytucje / Struktury / Wspólnoty,K,K,?,M,?,?,,,,,,
Wielka cisza,2005,Instytucje / Struktury / Wspólnoty,M,M,M,M,,,KM,,,,,
Bagno,2001,Tropikalny Gotyk,K,K,M,M,,,K,,?,?,Mercedes Morán,K
Czysta krew,1982,Tropikalny Gotyk,M,?,M,M,,?,M,,K,,Gilberto Forero,
Gąska,2025,Tropikalny Gotyk,K,K,?,?,?,,?,?,?,,Natalia Solián,K
Jak przycinać róże,2026,Tropikalny Gotyk,M,M,K,?,M,,?,?,?,?,Elle Fanning,K
Jaripeo,2026,Tropikalny Gotyk,KM,KM,M,K,?,,K,,,,,
Kamienie szlachetne,2026,Tropikalny Gotyk,?,?,?,?,?,?,?,,,,Juan Lugo,
Pasja według GHB,2026,Tropikalny Gotyk,?,M,?,?,?,,M,,M,,Vinicius Couto,
Pływacy,2026,Tropikalny Gotyk,?,?,?,?,?,?,?,,,,Joaquín Fretes,
Posiadłość Araucaima,1985,Tropikalny Gotyk,M,?,?,KM,?,?,?,,?,,Adriana Herrán,
Śmierć nie ma pana,2026,Tropikalny Gotyk,M,M,M,M,?,?,KM,?,?,,Asia Argento,K
Bez ojca,2011,Retrospektywa: Marie Kreutzer,K,K,K,K,M,,KM,?,?,?,Andreas Kiendl,M
Byliśmy cool,2016,Retrospektywa: Marie Kreutzer,K,K,K,K,?,,M,?,?,?,Vicky Krieps,K
Gruber nas opuszcza,2015,Retrospektywa: Marie Kreutzer,K,?,K,K,?,,KM,?,?,?,Manuel Rubey,
W gorsecie,2022,Retrospektywa: Marie Kreutzer,K,K,K,K,,,KM,?,?,?,Vicky Krieps,K
Ziemia pod nogami,2019,Retrospektywa: Marie Kreutzer,K,K,K,K,?,,M,?,?,?,Valerie Pachner,K
Adopcja,1975,Retrospektywa: Márta Mészáros,K,KM,KM,K,M,,,?,M,?,Kati Berek,
Dziennik dla moich dzieci,1984,Retrospektywa: Márta Mészáros,K,K,M,K,M,,,?,?,,Zsuzsa Czinkóczi,K
Dziennik dla moich ukochanych,1987,Retrospektywa: Márta Mészáros,K,K,M,K,M,,M,?,?,,Zsuzsa Czinkóczi,K
Dziennik dla mojego ojca i matki,1990,Retrospektywa: Márta Mészáros,K,K,M,K,M,,M,?,?,,Zsuzsa Czinkóczi,K
Dziewczyna,1968,Retrospektywa: Márta Mészáros,K,K,M,?,M,,,?,M,?,Kati Kovács,K
Dziewięć miesięcy,1976,Retrospektywa: Márta Mészáros,K,KM,M,K,M,,,?,M,,Lili Monori,
"Nie płaczcie, ślicznotki!",1970,Retrospektywa: Márta Mészáros,K,M,M,?,?,,,,M,,Jaroslava Schallerová,
One dwie,1977,Retrospektywa: Márta Mészáros,K,?,M,K,M,,,?,M,?,Marina Vlady,K
Swobodny oddech,1973,Retrospektywa: Márta Mészáros,K,K,M,?,M,,,?,?,?,Erzsébet Kútvölgyi,
Dorian Gray w zwierciadle prasy brukowej,1984,Retrospektywa: Ulrike Ottinger,K,K,K,K,KM,,K,?,K,?,Veruschka von Lehndorff,K
Freak Orlando,1981,Retrospektywa: Ulrike Ottinger,K,K,K,K,M,K,?,?,,?,Magdalena Montezuma,K
Madame X – absolutna władczyni,1978,Retrospektywa: Ulrike Ottinger,K,K,K,K,M,,KM,?,K,K,Tabea Blumenschein,K
Mongolska Joanna d’Arc,1989,Retrospektywa: Ulrike Ottinger,K,K,K,K,M,,K,?,K,?,Delphine Seyrig,K
Paryskie kaligramy,2020,Retrospektywa: Ulrike Ottinger,K,K,K,K,?,,KM,,?,,Ulrike Ottinger,K
Portret pijaczki,1979,Retrospektywa: Ulrike Ottinger,K,K,K,K,M,,K,K,?,?,Tabea Blumenschein,K
Prater,2007,Retrospektywa: Ulrike Ottinger,K,K,K,K,?,,?,?,K,?,Elfriede Jelinek,K
Zestaw Ulrike Ottinger: Laokoon i synowie + Uwiedzenie niebieskich marynarzy,,Retrospektywa: Ulrike Ottinger,K,?,K,K,,,?,K,K,K,Tabea Blumenschein,K
Freak Show,2026,Retrospektywa: Łukasz Ronduda,?,?,M,K,M,?,?,,,,Nadia Markiewicz,
Lot,2022,Retrospektywa: Łukasz Ronduda,?,?,?,M,?,?,K,,,,,
Performer,2015,Retrospektywa: Łukasz Ronduda,M,M,?,M,M,,M,?,K,?,Oskar Dawicki,M
Rave,2024,Retrospektywa: Łukasz Ronduda,?,?,?,?,?,,?,,?,?,,
Serce miłości,2017,Retrospektywa: Łukasz Ronduda,M,M,M,?,M,,M,?,K,,Justyna Wasilewska,K
Wszystkie nasze strachy,2021,Retrospektywa: Łukasz Ronduda,M,?,M,?,?,,?,?,K,,Dawid Ogrodnik,
Arru,2026,Oslo / Reykjavik,K,KM,K,M,M,?,?,,?,,Anitta Suikkari,
Niezbyt wygórowane oczekiwania,2026,Oslo / Reykjavik,?,?,?,M,KM,,?,?,?,?,Marie Ulven,K
Sny o miłości,2024,Oslo / Reykjavik,M,M,K,M,?,,KM,?,,,Ella Øverbye,
Wartość sentymentalna,2025,Oslo / Reykjavik,M,M,M,M,K,,K,?,?,,Renate Reinsve,
Shortlista zestaw 1,,Shortlista,?,?,?,?,,K,?,?,?,?,Aleksandra Skraba,
Shortlista zestaw 2,,Shortlista,?,?,?,?,,?,?,?,?,?,Aleksandra Pisula,
Shortlista zestaw 3,,Shortlista,?,?,?,?,,?,?,,,,Julian Feleńczak,
Głos Hind Rajab,2025,Sezon,K,K,M,?,,,?,?,?,?,Saja Kilani,K
Harvest,2024,Sezon,K,KM,M,?,,,?,?,M,?,Rosy McEwen,K
Left-Handed Girl,2025,Sezon,?,?,?,M,,,?,,,,Janel Tsai,K
Łobuz,2025,Sezon,M,M,K,?,?,,?,?,?,?,Diane Axford,
Milcząca przyjaciółka,2025,Sezon,K,?,M,M,M,,?,,?,,Tony Leung Chiu-wai,M
Pillion,2025,Sezon,M,?,M,M,M,,?,?,?,,Harry Melling,M
Romería,2025,Sezon,K,K,K,KM,M,,?,K,?,?,Tristán Ulloa,M
Sirât,2025,Sezon,M,M,M,M,M,,?,?,,?,Sergi López,M
Wpatrując się w słońce,2025,Sezon,K,K,M,K,?,,?,?,?,?,Hanna Heckt,K
Zmartwychwstanie,2025,Sezon,M,M,?,M,,K,M,?,,,Jackson Yee,M
Cinema Paradiso,1988,Pokazy na Rynku,M,KM,M,M,M,,?,?,M,,Philippe Noiret,M
Father Mother Sister Brother,2025,Pokazy na Rynku,M,M,M,M,?,,?,K,?,,Tom Waits,M
Labirynt,1986,Pokazy na Rynku,M,?,M,?,M,,?,?,?,,David Bowie,M
"Miłość, która zostaje",2025,Pokazy na Rynku,M,M,M,M,?,,KM,?,?,?,Ingvar Sigurdsson,M
Na fali,1991,Pokazy na Rynku,K,M,M,M,M,,M,,?,,Patrick Swayze,M
Pokolenie,1955,Pokazy na Rynku,M,M,M,M,M,,?,M,?,?,Tadeusz Łomnicki,M
